mpg,cylinders,displace,horsepower,accel,year,weight,origin,make,model,price
30,4,135,84,12.9,81,2385,USA,Plymouth,Reliant,4900
39,4,86,64,16.4,81,1875,USA,Plymouth,Champ,3600
34.7,4,105,63,14.9,81,2215,USA,Plymouth,Horizon 4,3450
34.4,4,98,65,16.2,81,2045,USA,Ford,Escort 4W,3850
29.9,4,98,65,20.7,81,2380,USA,Ford,Escort 2H,4100
22.4,6,231,110,15.8,81,3415,USA,Buick,Century,6675
26.6,8,350,105,19,81,3725,USA,Oldsmobile,Cutlass LS,6875
20.2,6,200,88,17.1,81,3060,USA,Ford,Granada GL,5450
17.6,6,225,85,16.6,81,3465,USA,Chrysler,Lebaron,5625
28,4,112,88,19.6,82,2605,USA,Chevrolet,Cavalier,5275
27,4,112,88,18.6,82,2640,USA,Chevrolet,CavalierSW,5500
34,4,112,88,18,82,2395,USA,Chevrolet,Cavalier2D,5175
31,4,112,85,16.2,82,2575,USA,Pontiac,1200 Hatch,5650
29,4,135,84,16,82,2525,USA,Dodge,Aries SE,6250
27,4,151,90,18,82,2735,USA,Pontiac,Phoenix,5650
24,4,140,92,16.4,82,2865,USA,Ford,Fairmont,5225
23,4,151,,20.5,82,3035,USA,AMC,Concord Dl,5150
38,4,105,63,14.7,82,2125,USA,Plymouth,Horizon,4350
36,4,98,70,17.3,82,2125,USA,Mercury,Lynx l,4550
25,6,181,110,16.4,82,2945,USA,Buick,CenturyLmt,7300
38,6,262,85,17,82,3015,USA,Oldsmobile,Cutlass Dl,7450
26,4,156,92,14.5,82,2585,USA,Chrysler,Lebaron,6000
22,6,232,112,14.7,82,2835,USA,Ford,Granada l,6100
36,4,135,84,13,82,2370,USA,Dodge,Charger2.2,5475
27,4,151,90,17.3,82,2950,USA,Chevrolet,Camaro,8400
27,4,140,86,15.6,82,2790,USA,Ford,MustangGL,5975
32,4,135,84,11.6,82,2295,USA,Dodge,Rampage,5650
28,4,120,79,18.6,82,2625,USA,Ford,Ranger,4925
31,4,119,82,19.4,82,2720,USA,Chevrolet,S-10,6050
